Sr. No.,Date,Order Weight ,Tile Dimensions,Vehicle Type,Drop Location,Warehouse No.,Dispatch Time,Drop Time,Return Time
78,25,5,2x2,Pickup,Ambawadi,4,10:20:00,11:10:00,12:30:00
79,25,19,4X2,Truck,Manek Chowk,6,04:30:00,06:30:00,08:30:00
80,25,21,4X4,Truck,PDPU Road,3,04:45:00,05:50:00,07:00:00
81,25,6,2x1,Pickup,Pethapur,5,11:20:00,11:55:00,12:45:00
82,25,812,12X18,Tempo,Ellis Bridge,5,09:15:00,10:30:00,11:45:00
83,25,18,8X4,Truck,Gota,3,04:50:00,06:30:00,08:00:00
84,25,22,4X2,Truck,Prahlad Nagar,7,04:50:00,07:30:00,09:00:00
85,25,7,2x2,Pickup,Sargasan,2,11:40:00,12:15:00,01:05:00
86,25,19,4X2,Truck,Sabarmati,5,05:00:00,06:30:00,08:00:00
87,25,18,6x4,Truck,PDPU Road,7,05:00:00,05:55:00,06:20:00
88,25,19,8X4,Truck,Shahibaug,7,05:15:00,06:35:00,08:00:00
89,25,6,2x1,Pickup,Sector 22,1,12:10:00,12:40:00,01:25:00
90,25,20,4X2,Truck,Vastral ,5,05:15:00,07:20:00,09:20:00
91,25,829,12X12,Tempo,Bhat,7,09:20:00,09:55:00,10:40:00
92,25,24,8X4,Truck,Sector 26,1,05:30:00,06:45:00,07:30:00
93,25,24,6x4,Truck,Vastrapur,7,05:30:00,07:00:00,09:00:00
94,25,21,4X2,Truck,Sargasan,8,05:35:00,06:45:00,08:00:00
95,25,24,8X4,Truck,Maninagar,3,05:45:00,06:45:00,08:30:00
96,25,23,4X4,Truck,Bopal,4,05:50:00,08:15:00,09:30:00
97,25,24,4X2,Truck,Bopal,3,05:50:00,08:15:00,09:30:00
98,25,24,6x4,Truck,PDPU Road,6,05:55:00,07:00:00,08:00:00
99,25,712,12X18,Tempo,Memnagar,2,09:20:00,10:10:00,11:10:00
100,25,18,4X4,Truck,Gota,3,06:00:00,07:30:00,08:20:00
101,25,18,6x4,Truck,Sector 10,1,06:00:00,06:50:00,
102,26,21,6x4,Truck,Mansa,1,03:00:00,04:00:00,06:15:00
103,26,25,4X2,Truck,Vastral,2,03:00:00,04:25:00,05:55:00
104,26,22,8X4,Truck,Vavol,2,03:30:00,04:40:00,06:00:00
105,26,23,8X4,Truck,Sector 24,3,03:35:00,04:25:00,05:45:00
106,26,18,4X2,Truck,PDPU Road,3,03:45:00,04:50:00,06:00:00
107,26,970,16X16,Tempo,Sargasan,3,09:25:00,09:50:00,10:40:00
108,26,5,2x2,Pickup,Akshardham,4,10:20:00,10:40:00,11:10:00
109,26,19,6x4,Truck,Akshardham,2,03:50:00,04:55:00,06:00:00
110,26,24,4X4,Truck,Kudasan,7,03:50:00,04:45:00,06:00:00
111,26,23,4X2,Truck,Sargasan,3,04:00:00,05:25:00,06:30:00
112,26,23,4X2,Truck,Bhat,3,04:00:00,05:30:00,07:00:00
113,26,738,12X12,Tempo,Ambawadi,3,09:30:00,10:25:00,11:25:00
114,26,7,2x1,Pickup,Pethapur,6,11:10:00,11:35:00,12:25:00
115,26,22,8X4,Truck,Sector 19,8,04:25:00,05:15:00,06:15:00
116,26,20,6x4,Truck,Sector 13,7,04:30:00,05:15:00,06:20:00
117,26,24,8X4,Truck,Bodakdev,3,04:35:00,05:50:00,06:55:00
118,26,5,2x2,Pickup,PDPU Road,3,11:45:00,12:30:00,01:05:00
119,26,23,4X2,Truck,Satellite,3,04:35:00,05:50:00,07:00:00
120,26,22,6x4,Truck,Sector 3C,3,05:00:00,05:45:00,06:55:00
121,26,907,16x16,Tempo,Aloha Hills,1,09:40:00,10:25:00,12:05:00
122,26,7,2x1,Pickup,Sargasan,1,12:15:00,12:50:00,01:20:00
123,26,22,8X4,Truck,Sector 30,6,05:15:00,06:10:00,
124,27,21,6x4,Truck,Sector 2,7,03:05:00,03:55:00,05:10:00
125,27,6,2x1,Pickup,Kudasana,3,10:15:00,10:50:00,11:30:00
126,27,850,12X12,Tempo,Sector 15,5,09:15:00,09:45:00,10:05:00
127,27,6,2x1,Pickup,PDPU Road,8,10:25:00,11:20:00,12:00:00
128,27,18,4X2,Truck,Sargasan,5,03:10:00,04:10:00,05:20:00
129,27,21,6x4,Truck,Sector 25,1,03:10:00,03:55:00,05:10:00
130,27,23,8X4,Truck,Aloha Hills,6,03:15:00,04:10:00,06:00:00
131,27,18,4X2,Truck,Navrangpura,1,03:30:00,04:30:00,05:55:00
132,27,6,2x2,Pickup,PDPU Road,1,10:45:00,11:30:00,12:20:00
133,27,20,8X4,Truck,Sabarmati,4,03:30:00,04:45:00,06:00:00
134,27,718,16x16,Tempo,Paldi,2,09:40:00,10:50:00,11:30:00
135,27,18,4X4,Truck,Kudasan,8,04:00:00,04:50:00,06:00:00
136,27,7,2x2,Pickup,Jodhpur Gaam,3,11:30:00,12:50:00,01:05:00
137,27,20,4X2,Truck,Gota,3,04:15:00,05:15:00,06:25:00
138,27,6,2x2,Pickup,Sargasan,4,11:55:00,12:30:00,01:10:00
139,27,21,8X4,Truck,Aloha Hills,5,04:30:00,05:15:00,06:05:00
140,27,7,2x2,Pickup,Sector 14,2,11:50:00,12:10:00,12:45:00
141,27,606,12X12,Tempo,Bhat,2,10:00:00,10:45:00,11:25:00
142,27,21,6x4,Truck,Satellite,8,04:30:00,05:45:00,07:15:00
143,27,7,2x2,Pickup,Pethapur,1,01:00,01:30,02:00
